[59.5981912  30.18646756] 

7 min 25 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 26 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 27 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 28 sec   SP1: 52.0  SP2: 24.0    T1: 50.2788   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 29 sec   SP1: 52.0  SP2: 24.0    T1: 49.9565   T2: 28.0401     H1: 35.769491744695316   H2: 0.018472717467454935
[37.86536567  0.07444292] 

7 min 30 sec   SP1: 52.0  SP2: 24.0    T1: 49.9565   T2: 28.362399999999997     H1: 35.769491744695316   H2: 0.018472717467454935
7 min 31 sec   SP1: 52.0  SP2: 24.0    T1: 49.63419999999999   T2: 28.0401     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 32 sec   SP1: 52.0  SP2: 24.0    T1: 49.63419999999999   T2: 28.0401     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 33 sec   SP1: 52.0  SP2: 24.0    T1: 49.63419999999999   T2: 28.0401     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 34 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 28.0401     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 35 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 28.0401     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 36 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 28.0401     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 37 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 38 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 39 sec   SP1: 52.0  SP2: 24.0    T1: 49.311899999999994   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 40 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 41 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 42 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 43 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 44 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 45 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 46 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 47 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 48 sec   SP1: 52.0  SP2: 24.0    T1: 48.989599999999996   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 49 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 50 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 51 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.717799999999997     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 52 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 53 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 54 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 55 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 56 sec   SP1: 52.0  SP2: 24.0    T1: 48.6673   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 57 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 58 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
7 min 59 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
[37.84512967  0.07429217] 

8 min 0 sec   SP1: 52.0  SP2: 24.0    T1: 48.345   T2: 27.3955     H1: 37.86536567279172   H2: 0.07444292370224309
8 min 1 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 27.073199999999996     H1: 37.84512967058356   H2: 0.07429216535985345
8 min 2 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 27.073199999999996     H1: 37.84512967058356   H2: 0.07429216535985345
8 min 3 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 26.750899999999998     H1: 37.84512967058356   H2: 0.07429216535985345
8 min 4 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 26.750899999999998     H1: 37.84512967058356   H2: 0.07429216535985345
8 min 5 sec   SP1: 52.0  SP2: 24.0    T1: 47.700399999999995   T2: 27.073199999999996     H1: 37.84512967058356   H2: 0.07429216535985345
8 min 6 sec   SP1: 52.0  SP2: 24.0    T1: 47.378099999999996   T2: 26.750899999999998     H1: 37.84512967058356   H2: 0.07429216535985345
8 min 7 sec   SP1: 52.0  SP2: 24.0    T1: 47.378099999999996   T2: 26.750899999999998     H1: 37.84512967058356   H2: 0.07429216535985345
