time,Q1,T1,Tsp1,Q2,T2,Tsp2
8402.4041826725,,23.8,49.0,,23.48,48.0
8407.4228785038,,23.9,49.0,,23.44,48.0
8412.375827550888,,23.86,49.0,,23.48,48.0
8417.308143854141,,23.86,49.0,,23.48,48.0
8422.232462406158,,23.9,49.0,,23.48,48.0
8427.178065299988,,23.93,49.0,,23.48,48.0
8432.258802890778,,23.9,49.0,,23.48,48.0
8437.126054286957,,23.93,49.0,,23.48,48.0
8442.024339914322,,23.86,49.0,,23.48,48.0
8446.89365029335,,23.83,49.0,,23.48,48.0
8451.98856663704,,23.99,49.0,,23.48,48.0
8456.884217262268,,23.9,49.0,,23.48,48.0
8461.796542167664,,23.9,49.0,,23.48,48.0
8466.726118564606,,23.9,49.0,,23.48,48.0
8471.685423612595,,23.9,49.0,,23.48,48.0
8476.777169942856,,23.8,49.0,,23.48,48.0
8481.724425554276,,23.83,49.0,,23.48,48.0
8486.678802013397,,23.9,49.0,,23.48,48.0
8491.607692480087,,23.93,49.0,,23.48,48.0
8496.49767780304,,23.93,49.0,,23.48,48.0
8501.388388633728,,23.83,49.0,,23.48,48.0
8506.35827255249,,23.8,49.0,,23.48,48.0
8511.290916442871,,23.83,49.0,,23.48,48.0
8516.241892576218,,23.86,49.0,,23.48,48.0
8521.210084915161,,23.83,49.0,,23.48,48.0
8526.18254828453,,23.8,49.0,,23.48,48.0
8531.08409833908,,23.9,49.0,,23.48,48.0
8535.99181175232,,23.93,49.0,,23.48,48.0
8540.976904630661,,23.9,49.0,,23.48,48.0
8545.85682797432,,23.9,49.0,,23.48,48.0
8550.810562133789,,23.86,49.0,,23.48,48.0
8555.757502794266,,23.83,49.0,,23.48,48.0
8560.820326328278,,23.83,49.0,,23.48,48.0
8565.717727184296,,23.83,49.0,,23.48,48.0
8570.673879146576,,23.86,49.0,,23.48,48.0
8575.577192783356,,23.8,49.0,,23.48,48.0
8580.528319120407,,23.93,49.0,,23.44,48.0
8585.4250228405,,23.9,49.0,,23.48,48.0
8590.330720186234,,23.86,49.0,,23.48,48.0
8595.293688058853,,23.8,49.0,,23.48,48.0
8600.174733638763,,23.86,49.0,,23.48,48.0
8605.107811927795,,23.8,49.0,,23.48,48.0
8610.028986215591,,23.83,49.0,,23.48,48.0
8614.989515066147,,23.86,49.0,,23.48,48.0
8619.885321617126,,23.86,49.0,,23.48,48.0
8624.788451194763,,23.8,49.0,,23.48,48.0
8629.729196071625,,23.86,49.0,,23.48,48.0
8634.659545898438,,23.86,49.0,,23.48,48.0
8639.63100886345,,23.8,49.0,,23.48,48.0
8644.51967716217,,23.96,49.0,,23.48,48.0
8649.489303350449,,23.83,49.0,,23.48,48.0
8654.529081344604,,23.83,49.0,,23.48,48.0
8659.430081367493,,23.93,49.0,,23.48,48.0
8664.312903642654,,23.83,49.0,,23.48,48.0
8669.42720913887,,23.9,49.0,,23.48,48.0
8674.332981348038,,23.8,49.0,,23.48,48.0
8679.195997476578,,23.83,49.0,,23.48,48.0
8684.094104528427,,23.8,49.0,,23.48,48.0
8689.031045675278,,23.83,49.0,,23.48,48.0
8693.919718265533,,23.86,49.0,,23.48,48.0
8698.912474393845,,23.86,49.0,,23.48,48.0
8703.885718345642,,23.8,49.0,,23.48,48.0
8708.782217741013,,23.9,49.0,,23.48,48.0
8713.6633040905,,23.8,49.0,,23.48,48.0
8718.58063530922,,23.8,49.0,,23.48,48.0
8723.54334306717,,23.83,49.0,,23.48,48.0
8728.471995353699,,23.96,49.0,,23.48,48.0
8733.37462425232,,23.83,49.0,,23.48,48.0
8738.281322956085,,23.83,49.0,,23.48,48.0
8743.222395896912,,23.8,49.0,,23.48,48.0
8748.133781433105,,23.8,49.0,,23.48,48.0
8753.043196201324,,23.86,49.0,,23.48,48.0
8757.995513916016,,23.83,49.0,,23.48,48.0
8762.891827821732,,23.9,49.0,,23.48,48.0
8767.799965143204,,23.8,49.0,,23.48,48.0
8772.715990304947,,23.9,49.0,,23.48,48.0
8777.634214878082,,23.8,49.0,,23.48,48.0
8782.542212963104,,23.86,49.0,,23.48,48.0
8787.453722953796,,23.8,49.0,,23.48,48.0
8792.378182172775,,23.8,49.0,,23.48,48.0
8797.284758090973,,23.83,49.0,,23.48,48.0
8802.168076992035,,23.83,49.0,,23.48,48.0
8807.09258055687,,23.8,49.0,,23.48,48.0
8812.19114112854,,23.83,49.0,,23.48,48.0
8817.08818078041,,23.8,49.0,,23.48,48.0
8821.990393400192,,23.8,49.0,,23.48,48.0
8826.89314365387,,23.8,49.0,,23.48,48.0
8831.88575387001,,23.8,49.0,,23.48,48.0
8836.791711807251,,23.8,49.0,,23.48,48.0
8841.709918260574,,23.9,49.0,,23.48,48.0
8846.589691638947,,23.8,49.0,,23.48,48.0
